納品番号	FBA15D1TGX89
納品名	FBA (2022/04/28 11:09) - 1
納品プラン番号	PLN1RW2MMD
納品先	NRT5
SKU 合計	27
商品合計数	127

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	5
2T-CEDX-VBNH	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)	B0888CBJL3	X000UMZTOF	UPC: 703556067632	新品	不要	"--"	出品者	3
2T-HEXS-COB6	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, グレー)	B07RR71B1P	X000RJ3IWL	UPC: 703556062187	新品	不要	"--"	出品者	2
53-C8NZ-UF4D	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	B0786KYY7Y	X000WRDOQ3	--	新品	不要	"--"	出品者	5
7X-XMTH-ED40	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, ピンク)	B07SVL7M3S	X000RRDNGJ	UPC: 703556063399	新品	不要	"--"	出品者	3
86-XZB0-HL4R	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_22_point_5_centimeters)	B098DXXPTC	X000Y4PEQR	UPC: 703556069636	新品	不要	"--"	出品者	1
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	15
9W-LC9N-P0NQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ピンク)	B07RN5DSBD	X000RJ3N21	UPC: 703556062316	新品	不要	"--"	出品者	10
CW-JQI7-PL9B	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, M:13〜15cm(3-4歳))	B088D9MRR4	X000UNO9B3	UPC: 703556067878	新品	不要	"--"	出品者	2
D7-IW96-J4L1	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, S)	B07RQ4V5TL	X000RKI9WT	UPC: 703556062583	新品	不要	"--"	出品者	5
DU-P06F-VJBB	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XL)	B07RTHQ2KZ	X000RJ3OBB	UPC: 703556062569	新品	不要	"--"	出品者	8
F4-DJYL-ZFI7	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, L)	B07RR6Y96L	X000RKIE0V	UPC: 703556062552	新品	不要	"--"	出品者	3
FK-SQOE-Y997	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	B0782N7XDJ	X000WRDZ6R	UPC: 680577733534	新品	不要	"--"	出品者	11
G7-BVYT-AI93	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ブルー)	B07RR8Y437	X000RJ3IWV	UPC: 703556062231	新品	不要	"--"	出品者	2
HB-E5PD-U2WL	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B07K5RYSRY	X000RS958X	UPC: 703556058098	新品	不要	"--"	出品者	3
HF-W0WE-2S93	【Smart-Bear】T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (S)	B07RP68X1C	X000RMFWYP	UPC: 703556062491	新品	不要	"--"	出品者	3
HU-4C3A-YQ59	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XL)	B07RN3T64S	X000RKIE15	UPC: 703556062613	新品	不要	"--"	出品者	5
L7-WXI9-AW9P	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	3
LQ-0N26-JIVF	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, グレー)	B07RR6YYFZ	X000RMF9KH	UPC: 703556062477	新品	不要	"--"	出品者	2
LW-8PD5-8DC1	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, ピンク)	B07RS9PZVZ	X000RKI7FX	UPC: 703556062354	新品	不要	"--"	出品者	1
MO-6NAH-GNZ6	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)	B07K5S4TZ9	X000RS97BN	--	新品	不要	"--"	出品者	5
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	5
QH-M533-IZEL	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, ウサギ柄)	B09NHPHTSJ	X000ZJ3JFT	UPC: 703556069766	新品	不要	"--"	出品者	2
SE-6APE-EDI4	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B0782VLBQ7	X000WRDPNZ	UPC: 680577733565	新品	不要	"--"	出品者	11
TV-KRHB-L7VJ	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_24_point_5_centimeters)	B0983P7ZQ2	X000Y3RL0Z	UPC: 703556069599	新品	不要	"--"	出品者	2
U2-MUDQ-N4ZK	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B0782TQTTP	X000WRDPO9	UPC: 680577733558	新品	不要	"--"	出品者	8
YL-430X-R4DB	【Smart-Bear】W024 子供靴下 ベビーソックス 滑り止め 柔らかい 快適 吸汗通気 男の子 女の子 かわいい動物柄 通気 5足セット (B, M:13〜15cm(4-6歳))	B087TNYN2M	X000UKJEC5	UPC: 703556067311	新品	不要	"--"	出品者	2
