納品番号	FBA15D296VGL
納品名	FBA (2022/05/14 20:46) - 1
納品プラン番号	PLN1S0W2J3
納品先	KIX4
SKU 合計	26
商品合計数	83

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
2T-CEDX-VBNH	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)	B0888CBJL3	X000UMZTOF	UPC: 703556067632	新品	不要	"--"	出品者	3
3C-S1I5-ZLXX	【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XXL)	B077TYM9G3	X000RJ2QF1	UPC: 680577732476	新品	不要	"--"	出品者	2
50-RB4X-I0UD	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 女)	B093G4YTGH	X000XK962P	UPC: 703556069261	新品	不要	"--"	出品者	2
53-C8NZ-UF4D	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	B0786KYY7Y	X000WRDOQ3	--	新品	不要	"--"	出品者	5
70-ZTNW-C5FQ	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, イエロー)	B07SSJJQY6	X000RRFKJR	UPC: 703556063474	新品	不要	"--"	出品者	2
74-MTWF-NKK7	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_22_point_5_centimeters)	B098DYTNQM	X000Y4RQZT	UPC: 703556069643	新品	不要	"--"	出品者	4
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	5
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	3
9N-4FPK-JMKR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_17_point_0_centimeters)	B089XZRV3Z	X000UXXD83	UPC: 703556068448	新品	不要	"--"	出品者	3
9W-LC9N-P0NQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ピンク)	B07RN5DSBD	X000RJ3N21	UPC: 703556062316	新品	不要	"--"	出品者	3
AF-0BOJ-58FU	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)	B07RP5RVVV	X000RJ3N49	UPC: 703556062323	新品	不要	"--"	出品者	3
DH-BSJW-QLKQ	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ライオン2色セット)	B093G83MXN	X000XK93N7	UPC: 703556069292	新品	不要	"--"	出品者	2
EV-5CEC-EMJP	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_20_point_0_centimeters)	B089WGW78M	X000UXVU83	UPC: 703556068318	新品	不要	"--"	出品者	2
F4-DJYL-ZFI7	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, L)	B07RR6Y96L	X000RKIE0V	UPC: 703556062552	新品	不要	"--"	出品者	2
FN-VIR3-GDHQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	5
FQ-TZLP-HWK1	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)	B0782RGD4B	X000WRDOQD	UPC: 680577733572	新品	不要	"--"	出品者	5
FZ-115Y-OM14	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, 自動車柄)	B09NHPM8PF	X000ZJ440N	UPC: 703556069889	新品	不要	"--"	出品者	1
HU-8Z2R-UHYK	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_21_point_0_centimeters)	B089WGKK93	X000UXRHS5	UPC: 703556068257	新品	不要	"--"	出品者	3
KH-0RZG-S1GO	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, M)	B07RP5YSYZ	X000RJ3OC5	UPC: 703556062590	新品	不要	"--"	出品者	3
L7-WXI9-AW9P	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	5
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	5
MA-QSR9-916V	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B0782PTKL2	X000WRECM3	UPC: 680577733602	新品	不要	"--"	出品者	5
NO-T7XI-7XIR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_20_point_0_centimeters)	B089Y5T5HG	X000UXXDLF	UPC: 703556068554	新品	不要	"--"	出品者	1
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	2
U2-MUDQ-N4ZK	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B0782TQTTP	X000WRDPO9	UPC: 680577733558	新品	不要	"--"	出品者	5
VF-4T5V-BQWE	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ウサギ2色セット)	B093G8RXDS	X000XK9IOL	UPC: 703556069315	新品	不要	"--"	出品者	2
