納品番号	FBA15D31DR6N
納品名	FBA (2022/06/08 10:36) - 1
納品プラン番号	PLN1S9K6M7
納品先	KIX4
SKU 合計	23
商品合計数	61

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
0F-QOYL-CX4N	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_18_point_5_centimeters)	B089XVJJ3C	X000UXXD51	UPC: 703556068486	新品	不要	"--"	出品者	3
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	3
49-XIYM-U7XE	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_18_point_5_centimeters)	B089WH2RHR	X000UXVQ1J	UPC: 703556068189	新品	不要	"--"	出品者	3
7K-1BQC-2KED	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)	B098DVR5NR	X000Y4RKFF	UPC: 703556069469	新品	不要	"--"	出品者	4
AF-0BOJ-58FU	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)	B07RP5RVVV	X000RJ3N49	UPC: 703556062323	新品	不要	"--"	出品者	4
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	3
EV-TGZ8-084V	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, S)	B0785671P8	X000RJJ4EH	--	新品	不要	"--"	出品者	3
FC-5PIA-1JUZ	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XL)	B098DWYX41	X000Y4RKFP	UPC: 703556069483	新品	不要	"--"	出品者	2
GU-26TQ-VQCD	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_20_point_0_centimeters)	B089WG52FC	X000UXRHRV	UPC: 703556068226	新品	不要	"--"	出品者	1
H3-D2Y7-HO7V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, M)	B07RTGGKQP	X000RKIE0L	UPC: 703556062545	新品	不要	"--"	出品者	2
HB-E5PD-U2WL	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B07K5RYSRY	X000RS958X	UPC: 703556058098	新品	不要	"--"	出品者	1
LM-W2YT-YFF8	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, グリーン)	B07RQ4PJML	X000RKHTKR	UPC: 703556062293	新品	不要	"--"	出品者	3
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	2
M9-RIG5-DRKF	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	B07SV1BD6S	X000RU9VA3	UPC: 703556063627	新品	不要	"--"	出品者	1
MA-QSR9-916V	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B0782PTKL2	X000WRECM3	UPC: 680577733602	新品	不要	"--"	出品者	4
N4-FJS5-AX0C	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_18_point_5_centimeters)	B089WGPBWW	X000UXVU8X	UPC: 703556068295	新品	不要	"--"	出品者	1
NO-T7XI-7XIR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_20_point_0_centimeters)	B089Y5T5HG	X000UXXDLF	UPC: 703556068554	新品	不要	"--"	出品者	2
OC-VF51-U7VG	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, L)	B0782TSXGW	X000WRECMD	--	新品	不要	"--"	出品者	5
RX-2HFK-D2O4	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B07K5S3Q81	X000RS958D	--	新品	不要	"--"	出品者	1
TG-10BG-Z2R9	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, ブルー)	B07RP6WZZR	X000RJJNN9	UPC: 703556062224	新品	不要	"--"	出品者	2
TV-KRHB-L7VJ	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_24_point_5_centimeters)	B0983P7ZQ2	X000Y3RL0Z	UPC: 703556069599	新品	不要	"--"	出品者	4
U0-2W5T-JP0A	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XL)	B077VT3Z3N	X000RMFHMH	UPC: 680577732766	新品	不要	"--"	出品者	5
UY-Y0MP-V8FJ	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_19_point_0_centimeters)	B089WH17QK	X000UXQ6NH	UPC: 703556068301	新品	不要	"--"	出品者	2
