納品番号	FBA15D375ZSV
納品名	FBA (2022/06/14 10:27) - 1
納品プラン番号	PLN1SD0Q04
納品先	NRT5
SKU 合計	22
商品合計数	64

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
2C-OMB5-LWES	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, キリン柄)	B0829RCZH4	X000TC4Q7H	UPC: 703556066093	新品	不要	"--"	出品者	2
2G-4M7E-CPTT	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (S, キリン柄)	B0829SLDXV	X000TC4Q81	UPC: 703556066062	新品	不要	"--"	出品者	2
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	5
53-C8NZ-UF4D	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	B0786KYY7Y	X000WRDOQ3	--	新品	不要	"--"	出品者	2
6R-P7SR-5Z4X	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, ピンク)	B07SSKF9KP	X000RT7GZB	UPC: 703556063467	新品	不要	"--"	出品者	3
7Z-W2HV-53GW	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (S, 自動車柄)	B0829TMRDC	X000TC4Q7R	UPC: 703556066109	新品	不要	"--"	出品者	2
8L-YZ5B-QMPT	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (L, キリン柄)	B0829T2RHN	X000TC1RI3	UPC: 703556066086	新品	不要	"--"	出品者	2
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	5
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	2
CB-0QZI-OQCR	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ワニ)	B07RRCXLD1	X000R1AUDJ	UPC: 703556062644	新品	不要	"--"	出品者	2
EW-TDOM-26PY	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_16_point_0_centimeters)	B089WHLQGT	X000UXQ6N7	UPC: 703556068271	新品	不要	"--"	出品者	2
F7-VUUV-OD1C	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	B07SPWQD3T	X000RQ88JH	UPC: 703556063313	新品	不要	"--"	出品者	2
LU-ZKNB-TZVQ	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XXL)	B07RN46T9J	X000RJ3OCF	UPC: 703556062576	新品	不要	"--"	出品者	3
MA-QSR9-916V	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B0782PTKL2	X000WRECM3	UPC: 680577733602	新品	不要	"--"	出品者	2
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	11
OI-7LCF-JR5P	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (M, 自動車柄)	B0829SMZW4	X000TC4Q77	UPC: 703556066116	新品	不要	"--"	出品者	2
OJ-Q5O2-R6XK	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XL)	B07K5SL6NR	X000RS99BV	--	新品	不要	"--"	出品者	2
Q4-WVP1-WFSX	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (L, 自動車柄)	B0829SF92W	X000TC1RH9	UPC: 703556066123	新品	不要	"--"	出品者	2
RV-6PGA-WUBW	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_21_point_0_centimeters)	B089Y9LF2J	X000UXXD29	UPC: 703556068592	新品	不要	"--"	出品者	2
S0-6P3X-ACUO	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, 自動車柄)	B0829T96PP	X000TC1RGZ	UPC: 703556066130	新品	不要	"--"	出品者	2
SA-R75U-T8UJ	【Smart-Bear】W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (M, キリン柄)	B0829SQV45	X000TC4OR9	UPC: 703556066079	新品	不要	"--"	出品者	2
VF-4T5V-BQWE	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ウサギ2色セット)	B093G8RXDS	X000XK9IOL	UPC: 703556069315	新品	不要	"--"	出品者	5
